units,max_deg,centralized_lqr_mean,centralized_lqr_var,distributed_lqr_mean,distributed_lqr_var,distributed_worst_mean,distributed_worst_var,distributed_theory_mean,distributed_theory_var
10,2,4.968999263,0.032186786,19.14374085,0.085646117,12.40270824,0.089441811,12.06823458,0.088499266
20,2,20.23844524,0.172149864,41.73860095,0.098821168,27.72057046,0.261216769,27.10307066,0.261567633
30,2,45.56363358,0.134982197,63.82881977,0.32290536,41.69203289,0.351821547,40.84405283,0.349715043
40,2,80.163587,0.381800716,86.13187974,0.449008248,54.04847324,0.66351036,52.9461936,0.651120446
50,2,128.6225932,0.243867425,109.2360235,0.110593664,65.23358999,0.605991097,63.90557807,0.623529333
60,2,187.8232468,0.736324938,131.8812929,0.386539341,74.55186131,0.535546465,73.00590327,0.538700706
70,2,256.6570506,0.932446247,152.8697613,0.345495894,87.64157928,1.470573116,85.95170679,1.480342358
80,2,334.497235,3.499050088,175.871329,0.562653311,96.29266548,0.590846744,94.42319471,0.546459659
90,2,424.9575048,5.462671024,198.5137546,0.880089239,106.9811143,0.53625717,104.9493715,0.516858544
100,2,533.6141543,5.588345116,221.3066168,0.568371372,115.1746675,1.029675621,112.9546623,1.068658854
