time,state_1_method_1,state_2_method_1,state_1_method_2,state_2_method_2,x1_ref,x2_ref
0,-5.566591643,-2.378082914,-5.566591643,-2.378082914,1,0
1,-5.804399934,2.891055667,-5.804399934,2.891005403,1,0
2,-5.515294368,6.778793318,-5.515299394,6.778679192,1,0
3,-4.837415036,9.314632572,-4.837431475,9.314553134,1,0
4,-3.905951779,10.62328456,-3.905976161,10.62323264,1,0
5,-2.843623323,10.90108451,-2.843652897,10.89262921,1,0
6,-1.753514872,10.4051121,-1.754389977,10.38840682,1,0
7,-0.713003662,8.776623755,-0.715549295,8.676627538,1,0
8,0.164658713,6.123295817,0.152113459,6.062594685,1,0
9,0.776988295,3.480245918,0.758372927,3.48268549,1,0
10,1.125012887,1.39086678,1.106641476,1.43566824,1,0
11,1.264099565,0.026959998,1.2502083,0.088762535,1,0
12,1.266795565,-0.67558158,1.259084554,-0.616042768,1,0
13,1.199237407,-0.889679345,1.197480277,-0.843402181,1,0
14,1.110269472,-0.808050459,1.113140059,-0.778735581,1,0
15,1.029464426,-0.59277686,1.035266501,-0.579373236,1,0
16,0.97018674,-0.355628387,0.977329177,-0.354738551,1,0
17,0.934623901,-0.158564245,0.941855322,-0.166150532,1,0
18,0.918767477,-0.024622218,0.925240269,-0.036964699,1,0
19,0.916305255,0.048117165,0.921543799,0.034013886,1,0
20,0.921116972,0.07395816,0.924945188,0.060275571,1,0
21,0.928512788,0.070437773,0.930972745,0.058599326,1,0
22,0.935556565,0.052916227,0.936832677,0.043694436,1,0
23,0.940848188,0.032272185,0.941202121,0.025909769,1,0
24,0.944075406,0.014701248,0.943793098,0.01103729,1,0
25,0.945545531,0.002642617,0.944896827,0.001241489,1,0
26,0.945809793,-0.003916594,0.945020976,-0.003638963,1,0
27,0.945418133,-0.006230157,0.944657079,-0.004892423,1,0
28,0.944795118,-0.005897443,0.944167837,-0.004062051,1,0
29,0.944205373,-0.004329408,0.943761632,-0.002442423,1,0
30,0.943772432,-0.0025192,0.94351739,-0.000882805,1,0
31,0.943520512,-0.001020375,0.943429109,0.000205621,1,0
32,0.943418475,-3.63E-05,0.943449671,0.000739125,1,0
33,0.943414841,0.000453648,0.943523584,0.000823807,1,0
34,0.943460206,0.000578481,0.943605965,0.000637115,1,0
35,0.943518054,0.000491103,0.943669676,0.000348096,1,0
36,0.943567165,0.000320053,0.943704486,7.74E-05,1,0
37,0.94359917,0.000150583,0.94371223,-0.00011166,1,0
38,0.943614228,2.53E-05,0.943701064,-0.000203999,1,0
39,0.94361676,-4.52E-05,0.943680664,-0.000215118,1,0
40,0.94361224,-6.94E-05,0.943659152,-0.000174152,1,0
41,0.9436053,-6.34E-05,0.943641737,-0.00011088,1,0
42,0.943598964,-4.31E-05,0.943630649,-4.83E-05,1,0
43,0.943594653,-2.06E-05,0.943625822,1.21E-07,1,0
44,0.94359259,-2.81E-06,0.943625834,2.94E-05,1,0
45,0.943592309,7.86E-06,0.943628776,4.10E-05,1,0
46,0.943593095,1.19E-05,0.943632873,3.94E-05,1,0
47,0.943594282,1.12E-05,0.943636817,3.05E-05,1,0
48,0.943595398,8.00E-06,0.943639863,1.89E-05,1,0
49,0.943596198,4.22E-06,0.943641755,8.30E-06,1,0
50,0.94359662,1.02E-06,0.943642585,3.96E-07,1,0
51,0.943596722,-1.08E-06,0.943642625,-4.28E-06,1,0
52,0.943596615,-2.04E-06,0.943642197,-6.12E-06,1,0
53,0.94359641,-2.14E-06,0.943641585,-5.93E-06,1,0
54,0.943596197,-1.70E-06,0.943640992,-4.62E-06,1,0
55,0.943596026,-1.07E-06,0.94364053,-2.93E-06,1,0
56,0.943595919,-4.63E-07,0.943640237,-1.36E-06,1,0
57,0.943595873,-9.81E-09,0.943640101,-1.96E-07,1,0
58,0.943595872,2.53E-07,0.943640081,5.05E-07,1,0
59,0.943595897,3.48E-07,0.943640132,7.98E-07,1,0
60,0.943595932,3.27E-07,0.943640212,7.99E-07,1,0
61,0.943595965,2.43E-07,0.943640291,6.35E-07,1,0
62,0.943595989,1.42E-07,0.943640355,4.12E-07,1,0
63,0.943596003,5.38E-08,0.943640396,2.02E-07,1,0
64,0.943596009,-8.00E-09,0.943640416,4.35E-08,1,0
65,0.943596008,-4.12E-08,0.943640421,-5.40E-08,1,0
66,0.943596004,-5.11E-08,0.943640415,-9.70E-08,1,0
67,0.943595999,-4.55E-08,0.943640406,-1.01E-07,1,0
68,0.943595994,-3.25E-08,0.943640396,-8.17E-08,1,0
69,0.943595991,-1.82E-08,0.943640387,-5.41E-08,1,0
70,0.943595989,-6.19E-09,0.943640382,-2.75E-08,1,0
71,0.943595988,1.87E-09,0.943640379,-7.08E-09,1,0
72,0.943595989,5.97E-09,0.943640379,5.67E-09,1,0
73,0.943595989,6.96E-09,0.943640379,1.15E-08,1,0
74,0.94359599,6.00E-09,0.94364038,1.22E-08,1,0
75,0.943595991,4.16E-09,0.943640381,1.01E-08,1,0
76,0.943595991,2.23E-09,0.943640382,6.74E-09,1,0
77,0.943595991,6.68E-10,0.943640383,3.48E-09,1,0
78,0.943595991,-3.41E-10,0.943640383,9.57E-10,1,0
79,0.943595991,-8.26E-10,0.943640384,-6.28E-10,1,0
80,0.943595991,-9.14E-10,0.943640384,-1.36E-09,1,0
81,0.943595991,-7.62E-10,0.943640383,-1.47E-09,1,0
82,0.943595991,-5.11E-10,0.943640383,-1.21E-09,1,0
83,0.943595991,-2.60E-10,0.943640383,-8.11E-10,1,0
84,0.943595991,-6.40E-11,0.943640383,-4.17E-10,1,0
85,0.943595991,5.81E-11,0.943640383,-1.13E-10,1,0
86,0.943595991,1.13E-10,0.943640383,7.72E-11,1,0
87,0.943595991,1.18E-10,0.943640383,1.64E-10,1,0
88,0.943595991,9.46E-11,0.943640383,1.76E-10,1,0
89,0.943595991,6.09E-11,0.943640383,1.44E-10,1,0
90,0.943595991,2.88E-11,0.943640383,9.51E-11,1,0
91,0.943595991,4.78E-12,0.943640383,4.79E-11,1,0
92,0.943595991,-9.54E-12,0.943640383,1.17E-11,1,0
93,0.943595991,-1.53E-11,0.943640383,-1.05E-11,1,0
94,0.943595991,-1.51E-11,0.943640383,-2.03E-11,1,0
95,0.943595991,-1.16E-11,0.943640383,-2.11E-11,1,0
96,0.943595991,-7.09E-12,0.943640383,-1.70E-11,1,0
97,0.943595991,-3.03E-12,0.943640383,-1.10E-11,1,0
98,0.943595991,-1.16E-13,0.943640383,-5.29E-12,1,0
99,0.943595991,1.51E-12,0.943640383,-1.03E-12,1,0
100,0.943595991,2.08E-12,0.943640383,1.51E-12,1,0
