units,max_deg,centralized_lqr_mean,centralized_lqr_var,distributed_lqr_mean,distributed_lqr_var,distributed_worst_mean,distributed_worst_var,distributed_theory_mean,distributed_theory_var
10,2,4.9360077,0.025314057,20.59084351,0.219317455,14.16649462,0.259086657,13.8392774,0.256485003
20,2,20.04905226,0.094815946,42.2838267,0.125273864,28.64872094,0.149640113,28.06872406,0.148918105
30,2,45.0759131,0.247848636,64.12602014,0.836660681,42.72922174,0.679610959,41.93049317,0.67773227
40,2,81.8101199,0.416051978,86.03018363,0.264674233,54.4920921,0.577290692,53.46370798,0.54831255
50,2,126.2288476,0.829655781,107.3983257,0.417730454,64.6556847,0.288393987,63.46060762,0.284090251
60,2,186.2658075,0.36024687,129.9474603,0.911478,74.94534665,0.556669014,73.53001412,0.560325101
70,2,253.4869089,1.596772999,152.6365164,0.57915774,84.57593547,0.925727244,83.07931521,0.924953776
80,2,334.7221166,1.800437165,175.0871741,0.582964314,93.76538075,0.87277976,92.08703293,0.880975057
90,2,429.3342759,1.888961758,197.6894401,0.549129433,102.4367657,0.921647352,100.5537068,0.922857673
100,2,533.2502208,3.594385261,221.2944572,0.462200027,111.2932936,1.539458862,109.2509934,1.540361249
