max_deg,edges,node_connectivity,edge_connectivity,centralized_lqr_mean,centralized_lqr_var,distributed_lqr_mean,distributed_lqr_var,distributed_worst_mean,distributed_worst_var
2,99,1,1,531.0850047,1.852246292,199.3849383,0.259383621,68.98643472,0.267193013
6,149,2,2,521.7645425,37.94383727,324.3021404,16.6854757,109.2468076,3.739761194
8,199,2,2,522.7981915,35.99543941,471.0472034,7.601468101,141.0793989,0.336852772
10,249,2,2,528.6010943,1.132110054,678.8397584,13.02815561,189.7126513,3.140902476
11,299,2,2,527.7538801,12.03504532,887.4502887,355.8698885,212.9228628,1.751091819
12,349,2,2,524.5039374,67.12723481,1107.499606,299.1901488,245.988806,19.36520806
14,399,2,2,516.4676798,1.311921447,1365.290748,326.2004721,305.5834796,5.043736169
15,449,2,2,520.7864542,84.98766271,1585.529929,181.6291932,334.3015047,3.989241862
16,499,3,3,526.5215145,81.12429279,1615.424676,9347.629471,330.5898033,183.6114495
18,549,3,3,524.6571617,38.57922935,1950.685316,900.8602323,405.9562581,12.65312239
20,599,3,3,523.5224517,50.424009,2290.027788,388.1249949,468.9137668,16.18557734
23,649,4,4,516.5509668,1.567651977,2578.080617,3743.070831,528.6532159,158.063685
24,699,4,4,527.9259598,18.35376767,2950.674977,1429.831278,578.1850712,41.50753716
